City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
162,kapa'a,22.0752,-159.319,26.18,93,100,8.23,US,1730316078
163,yuzhno-kurilsk,44.0306,145.8556,8.29,89,100,4.51,RU,1730316017
164,pangody,65.85,74.4859,-6.3,96,100,4.56,RU,1730316081
165,port lincoln,-34.7333,135.8667,13.57,84,0,4.73,AU,1730316082
166,tofol,5.3248,163.0078,28.1,74,52,4.87,FM,1730316083
167,tulua,4.0847,-76.1954,26.41,71,97,2.04,CO,1730316084
168,vadso,70.0744,29.7487,1.09,80,75,5.66,NO,1730316085
169,yanam,16.7333,82.2167,24.43,88,4,0.54,IN,1730316087
170,trairi,-3.2778,-39.2689,27.35,69,5,6.6,BR,1730315955
171,praia da vitoria,38.7333,-27.0667,19.14,94,40,3.7,PT,1730316089
172,santana,-0.0583,-51.1817,33.1,55,20,6.17,BR,1730316090
173,mar del plata,-38.0023,-57.5575,33.01,25,0,6.69,AR,1730316003
174,minas de marcona,-15.2119,-75.1103,18.97,54,15,7.62,PE,1730316092
175,borazjan,29.2666,51.2159,23.26,30,98,1.0,IR,1730315926
176,rikaze,29.25,88.8833,6.29,57,0,1.56,CN,1730316001
177,brisas de zicatela,15.8369,-97.0419,31.29,70,0,2.57,MX,1730316096
178,rio san juan,19.6439,-70.0763,24.6,87,100,6.72,DO,1730316097
179,kone,-21.0595,164.8658,19.55,81,1,1.36,NC,1730316098
180,queenstown,-31.8976,26.8753,10.21,76,0,1.3,ZA,1730316099
181,alotau,-10.3069,150.4462,23.76,96,100,1.97,PG,1730316100
182,nganjuk,-7.6051,111.9035,25.84,79,97,3.83,ID,1730316101
183,bairnsdale,-37.8333,147.6167,8.77,95,100,2.43,AU,1730316102
184,tibati,6.4667,12.6333,21.61,67,59,2.07,CM,1730316104
185,val-d'or,48.1002,-77.7828,19.05,72,75,8.75,CA,1730316105
186,ponta delgada,37.7333,-25.6667,19.4,82,20,2.06,PT,1730316106
187,bayanhongor,46.7167,100.1167,-13.8,91,20,1.61,MN,1730316108
188,urangan,-25.3,152.9,22.97,72,100,5.01,AU,1730316109
189,key west,24.5557,-81.7826,29.0,70,40,6.17,US,1730315911
190,fort st. john,56.2499,-120.8529,-0.06,80,75,3.09,CA,1730316111
191,maridi,4.9158,29.4742,22.22,86,100,0.79,SS,1730316113
192,constantia,44.1833,28.65,11.5,57,99,1.92,RO,1730315925
